EmployeeNumber,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,MaritalStatus,OverTime,BusinessTravel,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,Risk_Score,Risk_Category
910,33,Human Resources,Human Resources,2277,4,Divorced,true,Travel_Rarely,2,4,0,3,Medium Risk
1541,34,Sales,Sales Representative,2308,11,Married,true,Travel_Rarely,3,3,5,3,Medium Risk
247,34,Research & Development,Research Scientist,2311,3,Single,false,Travel_Rarely,2,3,1,3,Medium Risk
1044,33,Sales,Sales Representative,2342,2,Single,false,Non-Travel,4,2,2,3,Medium Risk
206,45,Research & Development,Laboratory Technician,2348,17,Divorced,false,Travel_Rarely,2,1,0,3,Medium Risk
1292,42,Research & Development,Research Scientist,2372,1,Married,true,Travel_Rarely,2,3,0,3,Medium Risk
2020,44,Research & Development,Research Scientist,2436,4,Single,true,Travel_Rarely,4,3,1,3,Medium Risk
1813,43,Research & Development,Research Scientist,2438,3,Single,false,Non-Travel,3,2,1,3,Medium Risk
2038,32,Research & Development,Research Scientist,2439,4,Single,false,Travel_Rarely,1,3,1,3,Medium Risk
1564,35,Research & Development,Laboratory Technician,2450,3,Single,false,Travel_Rarely,1,3,1,3,Medium Risk
1019,22,Research & Development,Laboratory Technician,2451,4,Married,false,Travel_Rarely,1,2,1,3,Medium Risk
430,43,Research & Development,Laboratory Technician,2455,8,Single,false,Travel_Frequently,4,3,1,3,Medium Risk
95,31,Research & Development,Research Scientist,2501,1,Single,false,Travel_Rarely,2,3,1,3,Medium Risk
1918,26,Research & Development,Laboratory Technician,2544,7,Married,false,Travel_Frequently,4,3,7,3,Medium Risk
1193,19,Research & Development,Research Scientist,2552,1,Single,false,Travel_Rarely,1,3,0,3,Medium Risk
838,34,Research & Development,Research Scientist,2553,5,Single,false,Travel_Frequently,4,3,1,3,Medium Risk
224,27,Research & Development,Research Scientist,2566,1,Divorced,true,Non-Travel,3,2,0,3,Medium Risk
1693,26,Research & Development,Laboratory Technician,2570,7,Single,false,Non-Travel,4,3,5,3,Medium Risk
484,21,Sales,Sales Representative,2610,3,Single,false,Non-Travel,4,2,2,3,Medium Risk
159,30,Research & Development,Research Scientist,2613,10,Divorced,false,Travel_Frequently,3,2,0,3,Medium Risk
194,30,Research & Development,Research Scientist,2632,5,Single,false,Travel_Rarely,3,2,0,3,Medium Risk
1006,38,Research & Development,Research Scientist,2684,2,Married,false,Travel_Frequently,3,2,0,3,Medium Risk
683,34,Research & Development,Research Scientist,2691,10,Married,false,Travel_Rarely,4,2,8,3,Medium Risk
426,31,Research & Development,Research Scientist,2695,2,Divorced,true,Travel_Rarely,4,1,2,3,Medium Risk
1154,28,Research & Development,Research Scientist,2703,3,Divorced,true,Travel_Frequently,3,3,0,3,Medium Risk
1764,32,Research & Development,Research Scientist,2718,7,Single,false,Non-Travel,2,3,0,3,Medium Risk
1680,20,Sales,Sales Representative,2728,2,Single,false,Travel_Rarely,1,3,0,3,Medium Risk
1234,32,Research & Development,Laboratory Technician,2743,2,Married,false,Travel_Frequently,2,3,2,3,Medium Risk
1768,42,Research & Development,Laboratory Technician,2766,5,Divorced,false,Travel_Rarely,2,2,0,3,Medium Risk
311,37,Sales,Sales Representative,2793,9,Divorced,false,Travel_Frequently,4,3,5,3,Medium Risk
1605,22,Research & Development,Research Scientist,2814,4,Married,true,Non-Travel,3,2,1,3,Medium Risk
874,44,Research & Development,Laboratory Technician,2818,3,Married,true,Travel_Rarely,4,2,0,3,Medium Risk
657,20,Research & Development,Research Scientist,2836,1,Single,false,Travel_Rarely,2,4,0,3,Medium Risk
5,33,Research & Development,Research Scientist,2909,8,Married,true,Travel_Frequently,3,3,3,3,Medium Risk
16,31,Research & Development,Research Scientist,2911,5,Divorced,false,Travel_Rarely,3,2,4,3,Medium Risk
1893,26,Research & Development,Research Scientist,2933,1,Married,true,Travel_Rarely,3,2,1,3,Medium Risk
22,22,Research & Development,Laboratory Technician,2935,1,Divorced,true,Non-Travel,4,2,0,3,Medium Risk
1409,52,Research & Development,Laboratory Technician,2950,5,Married,false,Travel_Rarely,1,1,0,3,Medium Risk
134,32,Research & Development,Research Scientist,2956,1,Single,false,Travel_Rarely,1,3,0,3,Medium Risk
1577,34,Research & Development,Research Scientist,2972,1,Single,false,Travel_Rarely,4,1,0,3,Medium Risk
467,47,Sales,Sales Representative,2976,0,Single,false,Travel_Frequently,3,3,0,3,Medium Risk
585,30,Sales,Sales Representative,2983,3,Single,false,Travel_Rarely,2,3,1,3,Medium Risk
1269,19,Research & Development,Research Scientist,2994,1,Single,true,Travel_Rarely,4,3,0,3,Medium Risk
1431,34,Research & Development,Research Scientist,2996,4,Divorced,false,Travel_Frequently,1,3,1,3,Medium Risk
1198,20,Research & Development,Laboratory Technician,3033,2,Single,false,Travel_Rarely,3,2,1,3,Medium Risk
1771,33,Research & Development,Research Scientist,3055,9,Divorced,false,Non-Travel,2,2,1,3,Medium Risk
773,38,Research & Development,Research Scientist,3057,1,Married,true,Travel_Rarely,3,1,0,3,Medium Risk
1948,31,Research & Development,Research Scientist,3065,4,Divorced,true,Non-Travel,1,4,2,3,Medium Risk
334,41,Research & Development,Research Scientist,3072,1,Divorced,false,Travel_Rarely,1,2,0,3,Medium Risk
239,30,Research & Development,Laboratory Technician,3072,12,Divorced,false,Non-Travel,1,3,6,3,Medium Risk
1798,33,Research & Development,Research Scientist,3143,10,Married,false,Travel_Rarely,1,3,7,3,Medium Risk
1513,29,Research & Development,Laboratory Technician,3180,3,Married,false,Travel_Frequently,2,3,0,3,Medium Risk
1136,28,Research & Development,Research Scientist,3201,5,Married,false,Travel_Rarely,2,1,0,3,Medium Risk
1617,49,Research & Development,Laboratory Technician,3211,9,Married,false,Travel_Rarely,1,2,1,3,Medium Risk
316,52,Research & Development,Laboratory Technician,3212,2,Single,false,Travel_Rarely,4,2,2,3,Medium Risk
1447,34,Research & Development,Laboratory Technician,3294,5,Married,false,Travel_Rarely,2,2,0,3,Medium Risk
1802,40,Research & Development,Laboratory Technician,3377,4,Married,false,Travel_Rarely,1,2,0,3,Medium Risk
1596,35,Research & Development,Laboratory Technician,3407,10,Married,false,Travel_Rarely,3,2,6,3,Medium Risk
51,36,Research & Development,Research Scientist,3419,1,Married,true,Travel_Rarely,1,4,0,3,Medium Risk
1720,32,Research & Development,Research Scientist,3433,5,Married,false,Travel_Frequently,3,2,1,3,Medium Risk
1751,27,Research & Development,Research Scientist,3445,6,Single,false,Travel_Rarely,4,2,1,3,Medium Risk
192,45,Research & Development,Research Scientist,3452,6,Single,false,Travel_Rarely,4,2,0,3,Medium Risk
1224,30,Research & Development,Laboratory Technician,3491,10,Divorced,false,Travel_Rarely,3,2,8,3,Medium Risk
1440,37,Research & Development,Laboratory Technician,3500,6,Single,false,Non-Travel,3,1,1,3,Medium Risk
1417,26,Research & Development,Laboratory Technician,3578,7,Single,false,Travel_Rarely,1,3,0,3,Medium Risk
1173,24,Research & Development,Laboratory Technician,3597,4,Single,false,Travel_Rarely,2,3,1,3,Medium Risk
1002,45,Research & Development,Laboratory Technician,3633,9,Married,true,Non-Travel,1,3,0,3,Medium Risk
1989,30,Research & Development,Laboratory Technician,3748,12,Married,false,Travel_Rarely,2,2,1,3,Medium Risk
861,30,Research & Development,Research Scientist,3761,5,Divorced,false,Travel_Frequently,4,2,0,3,Medium Risk
277,34,Research & Development,Research Scientist,3815,5,Divorced,true,Travel_Frequently,3,4,2,3,Medium Risk
1296,28,Research & Development,Laboratory Technician,3867,2,Married,true,Travel_Frequently,4,3,2,3,Medium Risk
340,37,Research & Development,Research Scientist,3920,3,Married,false,Travel_Rarely,1,2,0,3,Medium Risk
24,38,Research & Development,Research Scientist,3944,3,Single,true,Travel_Rarely,4,3,1,3,Medium Risk
1992,25,Research & Development,Laboratory Technician,3977,2,Divorced,true,Travel_Rarely,3,2,0,3,Medium Risk
57,30,Research & Development,Laboratory Technician,4011,12,Single,false,Travel_Frequently,4,3,3,3,Medium Risk
75,35,Research & Development,Laboratory Technician,4014,2,Married,true,Travel_Rarely,1,3,2,3,Medium Risk
942,35,Research & Development,Healthcare Representative,4014,10,Married,true,Travel_Rarely,4,1,0,3,Medium Risk
2053,29,Research & Development,Laboratory Technician,4025,4,Married,true,Travel_Rarely,2,3,0,3,Medium Risk
1046,32,Research & Development,Laboratory Technician,4025,8,Single,false,Non-Travel,3,3,7,3,Medium Risk
1574,32,Research & Development,Research Scientist,4087,6,Married,false,Non-Travel,1,2,1,3,Medium Risk
1349,41,Sales,Sales Executive,4103,9,Divorced,false,Travel_Frequently,1,3,1,3,Medium Risk
1011,31,Research & Development,Manufacturing Director,4148,4,Married,false,Travel_Frequently,1,3,0,3,Medium Risk
72,26,Sales,Sales Executive,4157,2,Married,true,Travel_Rarely,4,2,0,3,Medium Risk
1003,47,Sales,Sales Executive,4163,9,Single,true,Travel_Rarely,4,3,0,3,Medium Risk
15,29,Research & Development,Laboratory Technician,4193,9,Single,true,Travel_Rarely,3,3,0,3,Medium Risk
879,25,Sales,Sales Executive,4194,5,Married,true,Travel_Rarely,1,3,0,3,Medium Risk
1583,38,Sales,Sales Executive,4198,3,Single,false,Travel_Rarely,2,4,1,3,Medium Risk
577,35,Research & Development,Laboratory Technician,4230,5,Single,false,Travel_Rarely,3,3,4,3,Medium Risk
807,40,Research & Development,Healthcare Representative,4244,8,Married,false,Travel_Frequently,2,3,3,3,Medium Risk
241,56,Research & Development,Research Scientist,4257,2,Divorced,true,Travel_Rarely,1,3,2,3,Medium Risk
1885,37,Research & Development,Research Scientist,4284,5,Married,true,Travel_Rarely,1,3,0,3,Medium Risk
274,27,Research & Development,Manufacturing Director,4298,2,Married,false,Travel_Frequently,1,3,2,3,Medium Risk
1114,33,Sales,Sales Executive,4302,3,Married,false,Travel_Frequently,2,3,0,3,Medium Risk
524,31,Research & Development,Manufacturing Director,4306,13,Married,false,Travel_Rarely,1,1,3,3,Medium Risk
100,35,Sales,Sales Executive,4312,15,Single,false,Travel_Rarely,1,3,2,3,Medium Risk
193,38,Research & Development,Research Scientist,4317,3,Single,true,Travel_Rarely,3,3,2,3,Medium Risk
1545,33,Research & Development,Manufacturing Director,4320,5,Single,false,Travel_Rarely,2,3,0,3,Medium Risk
1164,35,Human Resources,Human Resources,4323,5,Single,false,Travel_Rarely,3,1,1,3,Medium Risk
1212,40,Sales,Sales Executive,4327,0,Married,false,Travel_Frequently,2,3,0,3,Medium Risk
1477,33,Sales,Sales Executive,4373,4,Married,false,Travel_Frequently,1,3,0,3,Medium Risk
804,34,Research & Development,Research Scientist,4381,6,Single,false,Travel_Rarely,1,3,1,3,Medium Risk
1612,45,Sales,Sales Executive,4385,10,Married,false,Non-Travel,1,3,4,3,Medium Risk
1995,38,Sales,Sales Executive,4440,15,Married,false,Travel_Rarely,2,3,5,3,Medium Risk
972,45,Research & Development,Laboratory Technician,4447,9,Married,false,Non-Travel,2,2,0,3,Medium Risk
1829,40,Research & Development,Healthcare Representative,4448,7,Divorced,false,Travel_Rarely,1,3,7,3,Medium Risk
529,37,Research & Development,Research Scientist,4449,13,Married,true,Non-Travel,3,3,10,3,Medium Risk
1195,45,Research & Development,Research Scientist,4477,3,Married,true,Travel_Rarely,3,2,0,3,Medium Risk
437,27,Sales,Sales Executive,4478,5,Single,true,Travel_Rarely,3,3,0,3,Medium Risk
527,25,Sales,Sales Executive,4487,5,Single,true,Travel_Rarely,4,3,1,3,Medium Risk
1289,34,Human Resources,Human Resources,4490,10,Married,false,Travel_Frequently,2,4,1,3,Medium Risk
903,47,Sales,Sales Executive,4537,7,Married,true,Travel_Rarely,4,3,7,3,Medium Risk
1220,33,Sales,Sales Executive,4539,10,Married,false,Travel_Frequently,3,2,0,3,Medium Risk
1225,44,Research & Development,Research Scientist,4541,20,Single,false,Travel_Rarely,4,3,13,3,Medium Risk
721,39,Research & Development,Healthcare Representative,4553,20,Single,false,Travel_Rarely,3,3,11,3,Medium Risk
60,34,Sales,Sales Executive,4568,9,Single,false,Non-Travel,3,3,8,3,Medium Risk
1503,47,Sales,Sales Executive,4591,5,Married,true,Travel_Rarely,3,2,1,3,Medium Risk
1080,46,Research & Development,Research Scientist,4615,16,Divorced,true,Travel_Rarely,1,3,1,3,Medium Risk
1981,24,Research & Development,Healthcare Representative,4617,4,Single,false,Travel_Rarely,3,2,1,3,Medium Risk
714,27,Sales,Sales Executive,4647,6,Divorced,true,Travel_Frequently,4,3,0,3,Medium Risk
1853,32,Sales,Sales Executive,4648,0,Single,false,Travel_Frequently,4,4,0,3,Medium Risk
1346,40,Research & Development,Research Scientist,4661,9,Single,false,Travel_Rarely,4,3,8,3,Medium Risk
1298,30,Research & Development,Manufacturing Director,4695,8,Single,true,Non-Travel,3,3,1,3,Medium Risk
1615,34,Research & Development,Manufacturing Director,4724,9,Divorced,false,Travel_Frequently,4,3,7,3,Medium Risk
171,43,Research & Development,Research Scientist,4739,3,Single,false,Travel_Frequently,3,3,1,3,Medium Risk
1478,34,Sales,Sales Executive,4759,13,Single,false,Travel_Rarely,1,3,3,3,Medium Risk
1481,44,Sales,Sales Executive,4768,1,Married,false,Travel_Frequently,3,2,0,3,Medium Risk
1886,35,Research & Development,Manufacturing Director,4788,3,Married,true,Travel_Rarely,2,3,0,3,Medium Risk
1622,28,Research & Development,Manufacturing Director,4877,5,Divorced,false,Travel_Rarely,1,2,0,3,Medium Risk
2009,33,Research & Development,Healthcare Representative,4878,9,Married,true,Travel_Rarely,4,3,8,3,Medium Risk
2018,25,Sales,Sales Executive,4907,5,Divorced,true,Travel_Rarely,3,2,0,3,Medium Risk
728,47,Sales,Sales Executive,4960,7,Single,false,Travel_Rarely,1,3,1,3,Medium Risk
1731,47,Sales,Sales Executive,4978,1,Married,false,Non-Travel,2,1,0,3,Medium Risk
1956,31,Research & Development,Research Scientist,5003,10,Married,false,Travel_Frequently,1,3,8,3,Medium Risk
1633,39,Research & Development,Manufacturing Director,5042,9,Single,false,Travel_Frequently,3,1,3,3,Medium Risk
1597,34,Research & Development,Healthcare Representative,5063,8,Married,false,Travel_Frequently,3,2,7,3,Medium Risk
